label,Id,predict_value
posLen_tp_11_rand_c,0,0.95
posLen_tp_11_rand_c,0,0.47
posLen_tp_11_rand_c,0,0.26
posLen_tp_11_rand_c,0,0.99
posLen_tp_11_rand_c,0,0.44
posLen_tp_11_rand_c,1,0.85
posLen_tp_11_rand_c,1,0.51
posLen_tp_11_rand_c,1,0.66
posLen_tp_11_rand_c,1,0.39
posLen_tp_11_rand_c,1,1.02
posLen_tp_11_rand_c,2,0.33
posLen_tp_11_rand_c,2,0.91
posLen_tp_11_rand_c,2,0.93
posLen_tp_11_rand_c,2,0.94
posLen_tp_11_rand_c,2,0.79
posLen_tp_11_rand_c,3,0.72
posLen_tp_11_rand_c,3,0.59
posLen_tp_11_rand_c,3,0.8
posLen_tp_11_rand_c,3,0.63
posLen_tp_11_rand_c,3,0.33
posLen_tp_11_rand_c,4,0.73
posLen_tp_11_rand_c,4,0.71
posLen_tp_11_rand_c,4,0.7
posLen_tp_11_rand_c,4,0.54
posLen_tp_11_rand_c,4,0.82
posLen_tp_11_rand_c,5,0.91
posLen_tp_11_rand_c,5,0.18
posLen_tp_11_rand_c,5,0.41
posLen_tp_11_rand_c,5,0.77
posLen_tp_11_rand_c,5,0.91
posLen_tp_11_rand_c,6,0.92
posLen_tp_11_rand_c,6,0.19
posLen_tp_11_rand_c,6,0.42
posLen_tp_11_rand_c,6,0.78
posLen_tp_11_rand_c,6,0.92
posLen_tp_11_rand_c,7,1.0
posLen_tp_11_rand_c,7,0.27
posLen_tp_11_rand_c,7,0.5
posLen_tp_11_rand_c,7,0.86
posLen_tp_11_rand_c,7,1.0
posLen_tp_11_rand_c,8,0.93
posLen_tp_11_rand_c,8,0.2
posLen_tp_11_rand_c,8,0.43
posLen_tp_11_rand_c,8,0.79
posLen_tp_11_rand_c,8,0.93
